Name,Category,Link for headshot,Linkedin,Logos,Bio,,,,,,,,,,,,,,,,,,,
Brian Hughes,Identity & Fraud,https://investors.affirm.com/board-member/brian-d-hughes,https://www.linkedin.com/in/bdhughes17/,"Affirm, BCG, Discover Financial, HSBC","Brian D. Hughes is a member of Affirm’s Board (since July 2024), bringing deep experience in growth strategy, digital transformation, and risk management. He is an independent consultant and strategic advisor to Boston Consulting Group serving financial-services clients. Previously, he held senior roles at Discover Financial Services including Chief Risk Officer (2016–2021), and earlier leadership roles at HSBC’s card/retail services business and Booz Allen Hamilton.",,,,,,,,,,,,,,,,,,,
Tricia Kemp,Payments,https://www.oakhcft.com/team-members/tricia-kemp,https://www.linkedin.com/in/patriciafkemp/,Oak HC/FT,"Tricia Kemp is a Co-Founder and Advisor at Oak HC/FT, where she has spent over a decade investing in category-defining fintechs like Rapyd, Paxos, and Feedzai.  Her deep domain expertise stems from her time at Cendant (formerly CUC International), where she led marketing and operations for high-scale credit card affinity programs and managed major subsidiaries including Welcome Wagon and Entertainment Publications. She began her career in foundational roles at Merrill Lynch and Hewlett Packard. Tricia is a perennial fixture on Institutional Investor’s FinTech Finance 40.",,,,,,,,,,,,,,,,,,,
Phil Goldfeder,Regulatory,https://informaconnect.com/finovatespring/speakers/phil-goldfeder/,https://www.linkedin.com/in/philgoldfeder/,"American Fintech Council, Chuck Schumer (U.S. Senate), Bloomberg, Cross River, New York State Assembly","Phil Goldfeder is CEO of the American Fintech Council (AFC), working at the intersection of policy, compliance, and fintech innovation. Before AFC, he led global public affairs at Cross River and founded the Online Lending Policy Institute. His career spans nearly two decades bridging public- and private-sector work in financial services regulation and responsible product standards.",,,,,,,,,,,,,,,,,,,
Shai Stern,,,https://www.linkedin.com/in/shaistern1,,pending ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
